"en","Comment"
"#testno","72"
"û[{xb1}íÚ5×ÑÎzÑK{ag}「iÛq{e }
{xe6}{xd2}{xe0}
{xdb}{xdc}
ÙÛÍcoœÛ“",""
"fff",""
"Ë0w{xb9}K{ag}「
cÛ
ÛÛŒ",""
"Û[?ËK{ag}「
cÛ
ÛÛŒ",""
"ïŒ“K{ag}「
cÛ
ÛÛŒ",""
"{xb1}4ÉK{ag}「
cÛ
ÛÛŒ",""
"É{xb9}+K{ag}「
cÛ
ÛÛŒ",""
"wÒÔK{ag}「
cÛ
ÛÛŒ",""
"oÉÂw{xb9}K{ag}「
cÛ
ÛÛŒ",""
"í」ïK{ag}「
cÛ
ÛÛŒ",""
"eyéïK{ag}「
cÛ
ÛÛŒ",""
"{xdc}{xdb}
{xdc}{xd3}{xd3}",""
"{xb1}ùÉ
{x19db}{x1963}0{xb9}í Ñ]ßf
{x19db}{x1963}0{xb9}í Ñ]ß×",""
"{xb1}ùïÀAÀ
{x1a59}{Jp000}i
 Ñ]↓l°ÑÀ■
ó{ag}1{ag}l°Ñ
Á{ag}3öä«{ag}
{xdd}{xd5}{xe0}öä«{ag}
{xb6}{ag}]Bi{x1a42}4
{x1936}{Jp001}↓{x19aa}yïÀ
!【{ag} ]↓p{xa8}Ö
ÛË+oq{xb9}Û¡FÛ

{x198d}íK{ag}「",""
"{xb1}ù■
P{on}c」ùmœ
Q{on}Úf{xa8}{ag}Ñ”×「±×
R{on}B{ag}]{x1989}{x1963}{Jp002}{x1986}
S{on}B{ag}]Ö×Îá{x1a85}
T{on}B{ag}];[{x1a99}{Jp003}Z üóM{ag}Ñ
U{on}{xe0}{x1920}{x1920}{xd1}{Jp004}{Jp005}{Jp006}
V{on}ú×zÈ{ag}Ü{xa8}Ö{x1a85}
W{on}Î{xc6}× {ag}{x1971}o{Jp007}{Jp008}{x1a85}
X{on}{x19e1}{x1a26}{x1a77}{Jp007}{Jp008}{Jp009}{Jp010}Ú5×Ñ{Jp002}{x1986}{Jp011}{x1a85}
PO{on}Î○1{Jp012}{x1a85}
{x198d}íK{ag}「",""
"{xb1}ù■
PP{on}{Jp013}Ú5×Ñ{x1a85}
PQ{on}{xd4}9{ag}_×{Jp014}{x19e9}
PR{on}9] _{xc6}Ö{Jp015}{Jp016}{Jp014}{x19e9}
PS{on}f«{ag}{xa8}{ag}Iü×{x19c9}{x1a63}
PT{on}Á○úä{ag}{Jp002}{x1986}
PU{on}nzÎ{xc6}z{Jp017}」{x1a7f}ùœ♦
PV{on}{x198c}{Jp018}/ñ°pi
PW{on}{x1a5a}{x19a6}{xe3}{xe0}zt{ag}]
PX{on}{Jp019}{Jp020}{wi}
QO{on}ñvÚ]{Jp021}{x1a8a}{x1a96}{x1a31}
{x198d}íK{ag}「",""
"{xb1}ù■
QP{on}ñvÚ]{Jp021}{x1a8a}7z{x19cd}{x1a85}
QQ{on}ñvÚ]{Jp022}{x19e8}{Jp023}9{ag}_×{Jp014}{x19e9}








{x198d}íK{ag}「",""
"#start0","74"
"",""
"#gover","75"
"",""
"#ending","76"
"#test","77"
"Welcome Moriya's room.
I'm poor worker.",""
"Student
”Can you correct my English?”
1.Music
2.Sound Streaming
3.Video Streaming
4.Battle
5.DISC Change
6.Cardgame
7.Etc.",""
"Student ”What are you play music?”
Gameover
Fanfale
Landing(Trial Ver Only)
Battle(SE)
Escape1
Battle(SQUALL)
Funsui(SE)
Escape2
Antenna
Mounten(Kill)
Next page",""
"Student ”I'm glad to see you again.”
Machin Noise(SE)
Wind(SE)
Crab
Battle(SQUALL)
Friend2(Kill)
Anxious2
March2
Landing2
JULIA
Walz
Next page",""
"Student ”I'm hungly.”
Friend
Dungion
Piano
Parade
March1
Secret
Garden
Anxious1
Polka2
GURBADIA
Next page",""
"Student ”Would you eat lunch with me?”
FlangChorus
DubChorus
SoloChorus
FemaleChorus
Chorus
M7F5
Majo
The inner part of a IFREAT Cave
Breeze
School of a corridor
Next page",""
"Student ”I like Japanese rice 'KOSIHIKARI'.”
Bug voice
Field
Town
Concert
The roar of the sea(SE)
Not use
Registanse
Flashback
Horizon
Master
Next page",""
"Student ”What do you like?”
Battle2(test)
Rinoa
TORABIA
Horizon2
Truth
Jail
GARUBADIA Garden
TINBER
GARUBADUA Town
Pinch!
Next page",""
"Student ”Ok,go to YOSINOYA.”
Junction
Eyes On Me
Lagna
Witch
Ancient Chokobo
White SEED
EDEA VS SQUALL
Jail
Missile
Speech
Next page",""
"Student ”May I have two beafboals?”
Cardgame
Torture
Rescue Rinoa from GARDEN
EDEA VS SEED
Train(SE)
GALBADIA GARDEN2
Last Boss(Intro2)
Last MAP
?
Start Demo
Next page",""
"Student ”…(Now eating)”
SPY?
VoiceDeChokobo
Salt
Alien
Column of Stone
Esta
Moon
MD(SE)
Tear of moon(short)
hikuutei
Next page",""
"Student ”Oh! I have no money.”
Last Boss(Intro1)
Movie
LAGUNA VS DRAGON
Last Boss
White(SE)
Black(SE)
Ending(Intro)
Compress of time


Next page",""
"Student ”What are you play music?”
Eyes on me(DISC3 only)
Cansel",""
"Student ”…”
0
1
2
3
4
5
6
7
8
9
Next page",""
"Student「…」
10
11
12
13
14
15
16
17
18
19
Next page",""
"Student「…」
20
21
22
23
24
25
26
27
28
29
Next page",""
"Student「…」
30
31
32
33
34
35
36
37
38
39
Next page",""
"Student「…」
40
41
42
43
44
45
46
47
48
49
Next page",""
"Student「…」
50
51
52
53
54
55
56
57
58
59
Next page",""
"Student「…」
60
61
62
63
64
65
66
67
68
69
Next page",""
"Student「…」
70
71
72
73
74
75
76
77
78
79
Next page",""
"Student「…」
80
81
82
83
84
85
86
87
88
89
Next page",""
"Student「…」
90
91
92
93
94
95
96
97
98
99
Next page",""
"Student「…」
100
101
102
103
104
105
106
107
108
109
Next page",""
"Student ”Did I say something worng?”
We are now going into zone FH21.
We are now going into zone Ending.
DISC1Movie
DISC2Movie
DISC3Movie
DISC4Movie
Change DISC1
Change DISC2
Change DISC3
Change DISC4
Cansel",""
"#test1","78"
"Test",""
"○A
Party
Member plus
Clear guro
Set flag
Salary
Change
Sound reset
Movie test
Black map
Play with scenario global
Music test",""
"○B
Set flag 1(Garden Beginning)
Set flag 2(Prison)
Set flag 3(After missile)
Set flag 4(After FH)
Set flag 5(After Garden vs Garden)

Play with scenario global
Clear guro
Junction
Fei Wong
Talent is matured",""
"○C
Squall
Rinoa
Pet
Quetzalcoatl
Shiva
Ifrit
Siren
Sacred
Carbuncle
Diablos
Innocent you",""
"○D
Leviathan
Pandemonium
Cerberus
Alexander
Bahamut
Death Express
Cactuar
Tonberry
Bartandres
Chocobo
○E",""
"○F
Party
Member plus
Change
Give me series
Battle ON/OFF
To start map
Battle scene test
Movie test
Music test
Sound reset
○G",""
"○H
Start map
Start map 0
Black map",""
"○I
Item
Card
Magic
Money
Summon
Summon all",""
"All
Normal only",""
"○J
All 6 characters
Squall
Zell
Selphie
Rinoa
Quistis
Irvine
Edea
New",""
"Choose
Recommend",""
"Squall
Zell
Irvine
Quistis
Rinoa
Selphie",""
"Quit
Fire
Fira
Firaga
Blizzard
Blizzara
Blizzaga
Thunder
Thundara
Thundaga
Next",""
"Quit
Water
Aero
Bio
Demi
Holy
Flare
Meteor
Quake
Tornado
Ultima
Next",""
"Quit
Mega Ultima
Cure
Cura
Curaga
Life
Full-life
Regen
Esuna
Dispell
Protect
Next",""
"Quit
Shell
Reflect
Aura
Double
Triple
Haste
Slow
Stop
Blind
Confuse
Next",""
"Quit
Sleep
Silence
Break
Death
Drain
Pain
Berserk
Float
Zombie
Meltdown
Scan",""
"○K
0 
1 
2 
3 
4 
5 
6 
7 
8 
9 
Start",""
"○L
0 
1 
2 
3 
4 
5 
6 
7 
8 
9 
Start",""
"○M
0 
1 
2 
3 
4 
5 
6 
7 
8 
9 
Start",""
"○N
0 
1 ",""
"○O
First Garden bit
Prison bit
Garden funnel after missiles
Spaceship bit
Crystal pillar(person's funnel)
Garden(Card people)




",""
"○P
Laguna saved Ward
(Prison)Saved Mumba
(Prison)Pick a fight with Warden







",""
"○Q
(Garden)Meet transfer student
(Garden)Showing T-student around
(Dorm)Selphie shows off
Become committee member






",""
"○R
Headmaster faction
Killed gate 5
Killed gate 2
Received item at gate 6
Killed hall 4
Killed road 5
Killed road 7
Received item in library
Complete all
End Cid isn't here event
○S",""
"○T
Saw Cid's hologram
Killed road 2







Decide on member
○U",""
"○V
Defeated all
Opened door
Airlock 1
Road 1
Road 2
Road 3
Storage 1
Storage 2
Exit 1
Seat 2
○W",""
"










",""
"○X
Key 1
Key 2

Hatch event

Small boulder
Large boulder
About to fall


○Y",""
"○Z
Beat 15 or more people
Beat Jack
Beat Club
Beat Spade
Beat Diamond
Beat Heart
Beat King
Beat Joker
Jack revealed himself
Dr. Kadowaki's identity
○A",""
"○B
King event occurs









○C",""
"○D
Zell
Irvine
Rinoa
Quistis
○E",""
"○F
Zell
Irvine
Rinoa
Quistis
○G",""
"Erect
Erase",""
"OFF
ON",""
"○H
OFF
ON
Cut",""
"○I
Squall
Zell
Selphie
Quistis",""
"○J
Clothes
School uniform
SeeD uniform
Bandage",""
"○K
End class.  Feel free
to go to Ifrit Dungeon, end
Get changed.  Evening,
squad assignents for the exam
End {Dollet} event.
Cid & Seifer
SeeD inauguration
End party
Went to secret area
Saved Ellone
○L",""
"○M
First mission
Go to {Timber}








○N",""
